deviceId,HOSTNAME,OSS_ID,DATE_ID,YEAR_ID,MONTH_ID,DAY_ID,HOUR_ID,DATETIME_ID,MIN_ID,TIMELEVEL,SESSION_ID,BATCH_ID,PERIOD_DURATION,ROWSTATUS,DC_RELEASE,DC_SOURCE,DC_TIMEZONE,DC_SUSPECTFLAG,UTC_DATETIME_ID,NICSTAT_ierrs,NICSTAT_oerrs,NICSTAT_opkts,NICSTAT_queue,NICSTAT_collis,NICSTAT_ipkts
NIC_NAME,HOSTNAME,OSS_ID,DATE_ID,YEAR_ID,MONTH_ID,DAY_ID,HOUR_ID,DATETIME_ID,MIN_ID,TIMELEVEL,SESSION_ID,BATCH_ID,PERIOD_DURATION,ROWSTATUS,DC_RELEASE,DC_SOURCE,DC_TIMEZONE,DC_SUSPECTFLAG,UTC_DATETIME_ID,NIC_IN_ERRORS,NIC_OUT_ERRORS,NIC_OUT_PACKETS,NIC_QUEUEU,NIC_COLLISION,NIC_IN_PACKETS
bond0,eniqs,eniq_oss_1,2022-09-18,2022,9,18,2,2022-09-18 02:00:00.0,0,15MIN,13,46,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 01:00:00.0,0,0,4971752,1000,0,4926955
ens192,eniqs,eniq_oss_1,2022-09-18,2022,9,18,2,2022-09-18 02:00:00.0,0,15MIN,13,46,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 01:00:00.0,0,0,4971778,1000,0,4926988
ens256,eniqs,eniq_oss_1,2022-09-18,2022,9,18,2,2022-09-18 02:00:00.0,0,15MIN,13,46,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 01:00:00.0,0,0,6,1000,0,0
lo,eniqs,eniq_oss_1,2022-09-18,2022,9,18,2,2022-09-18 02:00:00.0,0,15MIN,13,46,15,LOADED,,eniq_oss_1,+0100,0,2022-09-18 01:00:00.0,0,0,10541165,1000,0,10541165
