deviceId,HOSTNAME,OSS_ID,DATE_ID,YEAR_ID,MONTH_ID,DAY_ID,HOUR_ID,DATETIME_ID,MIN_ID,TIMELEVEL,SESSION_ID,BATCH_ID,PERIOD_DURATION,ROWSTATUS,DC_RELEASE,DC_SOURCE,DC_TIMEZONE,DC_SUSPECTFLAG,UTC_DATETIME_ID,NICSTAT_ierrs,NICSTAT_oerrs,NICSTAT_opkts,NICSTAT_queue,NICSTAT_collis,NICSTAT_ipkts
NIC_NAME,HOSTNAME,OSS_ID,DATE_ID,YEAR_ID,MONTH_ID,DAY_ID,HOUR_ID,DATETIME_ID,MIN_ID,TIMELEVEL,SESSION_ID,BATCH_ID,PERIOD_DURATION,ROWSTATUS,DC_RELEASE,DC_SOURCE,DC_TIMEZONE,DC_SUSPECTFLAG,UTC_DATETIME_ID,NIC_IN_ERRORS,NIC_OUT_ERRORS,NIC_OUT_PACKETS,NIC_QUEUEU,NIC_COLLISION,NIC_IN_PACKETS
bond0,eniqs,eniq_oss_1,2022-09-19,2022,9,19,1,2022-09-19 01:15:00.0,15,15MIN,14,25,15,LOADED,,eniq_oss_1,+0100,0,2022-09-19 00:15:00.0,0,0,4782852,1000,0,4752559
ens192,eniqs,eniq_oss_1,2022-09-19,2022,9,19,1,2022-09-19 01:15:00.0,15,15MIN,14,25,15,LOADED,,eniq_oss_1,+0100,0,2022-09-19 00:15:00.0,0,0,4782860,1000,0,4752574
ens256,eniqs,eniq_oss_1,2022-09-19,2022,9,19,1,2022-09-19 01:15:00.0,15,15MIN,14,25,15,LOADED,,eniq_oss_1,+0100,0,2022-09-19 00:15:00.0,0,0,6,1000,0,0
lo,eniqs,eniq_oss_1,2022-09-19,2022,9,19,1,2022-09-19 01:15:00.0,15,15MIN,14,25,15,LOADED,,eniq_oss_1,+0100,0,2022-09-19 00:15:00.0,0,0,10066277,1000,0,10066277
